player_name,IP,hr,k,bb,K%,BB%,hbp,xSLG,wOBA,xwOBA
"McLean, Nolan",48,4,57,16,30.3,8.5,2,0.357,0.259,0.292
"Rodríguez, Manuel",30.1,2,25,6,20.7,5,1,0.33,0.26,0.274
"Leasure, Jordan",64.1,12,81,30,30.1,11.2,1,0.348,0.312,0.279
"Blackburn, Paul",39,6,34,12,19.4,6.9,1,0.399,0.359,0.31
"Ashcraft, Graham",65.1,2,64,25,22.5,8.8,0,0.337,0.309,0.29
"Lynch IV, Daniel",67.2,8,45,26,15.6,9,6,0.414,0.327,0.328
"Peguero, Elvis",9.1,1,8,6,17,12.8,1,0.41,0.369,0.349
"Wolfram, Grant",26.2,2,31,15,23.3,11.3,1,0.331,0.353,0.295
"Leahy, Kyle",88,5,80,28,22,7.7,1,0.417,0.281,0.325
"Pilkington, Konnor",28.1,7,34,17,27.6,13.8,2,0.524,0.346,0.382
"Estévez, Carlos",66,5,54,22,20.1,8.2,4,0.404,0.255,0.299
"Tong, Jonah",18.2,3,22,9,25.3,10.3,0,0.443,0.376,0.342
"Littell, Zack",186.2,36,130,32,17.1,4.2,7,0.458,0.311,0.323
"Giolito, Lucas",145,17,121,56,19.7,9.1,1,0.464,0.301,0.345
"Morgan, David",47.1,4,50,23,25.9,11.9,2,0.348,0.287,0.301
"Pomeranz, Drew",49.2,5,57,15,28.1,7.4,5,0.365,0.265,0.291
"Strahm, Matt",62.1,5,70,20,27.3,7.8,2,0.33,0.267,0.261
"Schwellenbach, Spencer",110.2,13,108,18,24.9,4.1,2,0.395,0.266,0.294
"Gasser, Robert",5.2,1,5,4,17.2,13.8,2,0.389,0.35,0.342
"Harris, Hayden",2.2,0,0,2,0,16.7,0,0.603,0.367,0.473
"Monteverde, Patrick",3.2,0,4,1,20,5,0,0.413,0.469,0.324
"Javier, Cristian",37,3,34,15,21.7,9.6,1,0.355,0.294,0.285
"Zuber, Tyler",12,3,14,6,23.7,10.2,0,0.563,0.416,0.387
"Poulin, PJ",24.2,2,27,13,24.5,11.8,2,0.345,0.307,0.308
"Leiter Jr., Mark",48.1,5,54,17,24.7,7.8,4,0.364,0.343,0.301
"Manaea, Sean",60.2,13,75,12,28.5,4.6,7,0.422,0.337,0.31
"Hoffman, Jeff",68,15,84,27,29.3,9.4,4,0.408,0.32,0.301
"Williams, Devin",62,5,90,25,34.7,9.7,4,0.315,0.271,0.272
"Bradish, Kyle",32,3,47,10,37.3,7.9,1,0.341,0.255,0.275
"Avila, Luinder",14,0,16,6,28.6,10.7,0,0.222,0.204,0.226
"Curvelo, Luis",19,3,20,10,23.8,11.9,0,0.367,0.324,0.299
"Skenes, Paul",187.2,11,216,42,29.5,5.7,6,0.321,0.247,0.255
"Kelly, Merrill",184,23,167,48,22.3,6.4,2,0.431,0.288,0.316
"Clarke, Taylor",55.1,8,44,9,21.4,4.4,1,0.416,0.256,0.298
"Vásquez, Randy",133.2,16,78,52,13.7,9.1,7,0.481,0.311,0.354
"Sommers, Drew",3,1,3,3,15.8,15.8,1,0.46,0.589,0.395
"McGough, Scott",16,4,16,7,21.3,9.3,1,0.553,0.377,0.377
"Teng, Kai-Wei",29.2,2,39,17,28.1,12.2,7,0.321,0.335,0.311
"Gillispie, Connor",26,6,23,11,18.7,8.9,1,0.493,0.387,0.354
"Loáisiga, Jonathan",29.2,7,25,10,18.5,7.4,3,0.372,0.367,0.294
"Clase, Emmanuel",47.1,2,47,12,23.4,6,4,0.336,0.285,0.277
"Dana, Caden",32.1,9,33,18,23.4,12.8,1,0.422,0.365,0.338
"Springs, Jeffrey",171,28,138,54,19.4,7.6,3,0.431,0.309,0.321
"Stroman, Marcus",39,6,26,16,14.9,9.1,2,0.497,0.356,0.367
"Baz, Shane",166.1,26,176,64,24.8,9,9,0.386,0.33,0.306
"Rogers, Trevor",109.2,6,103,29,24.3,6.9,2,0.376,0.226,0.288
"Laweryson, Cody",7.2,0,7,0,26.9,0,0,0.255,0.141,0.219
"Hernandez, Nick",10.2,3,11,8,21.2,15.4,0,0.48,0.412,0.347
"Blanco, Ronel",48.1,7,48,20,24.1,10.1,0,0.354,0.292,0.279
"Rodríguez, Randy",50.2,4,67,11,33.8,5.6,4,0.308,0.239,0.251
"Owens, Tyler",3,0,1,3,6.7,20,0,0.44,0.315,0.399
"Morejon, Adrian",73.2,2,70,17,24.5,5.9,0,0.31,0.208,0.254
"Hancock, Emerson",90,15,64,31,16.6,8.1,5,0.468,0.339,0.358
"Ginn, J.T.",90.1,17,99,31,25.3,7.9,6,0.388,0.344,0.301
"Pallante, Andre",162.2,21,111,62,15.5,8.7,5,0.402,0.334,0.321
"Ottavino, Adam",1.2,0,3,4,33.3,44.4,0,0.115,0.307,0.359
"Garcia, Rico",34.1,5,38,10,26.8,7,0,0.351,0.292,0.28
"Sauer, Matt",29.2,6,24,8,18.6,6.2,2,0.462,0.37,0.34
"Cortes, Nestor",34.1,13,29,20,18.5,12.7,2,0.573,0.405,0.395
"Scherzer, Max",85,19,82,23,22.9,6.4,2,0.482,0.346,0.332
"Cantillo, Joey",95.1,10,108,42,26.9,10.5,0,0.37,0.289,0.3
"Kent, Zak",17.2,1,16,8,21.1,10.5,1,0.302,0.305,0.287
"Blubaugh, AJ",32,6,35,12,28,9.6,0,0.383,0.251,0.279
"Corbin, Patrick",155.1,21,131,51,19.8,7.7,3,0.439,0.328,0.336
"Matthews, Zebby",79.1,12,88,24,24.9,6.8,0,0.447,0.338,0.333
"Alexander, Scott",17.2,5,8,9,9.9,11.1,1,0.637,0.449,0.437
"Canning, Griffin",76.1,8,70,34,21.4,10.4,0,0.435,0.303,0.334
"Rooney, John",1.1,1,2,1,33.3,16.7,0,0.625,0.455,0.403
"Bednar, David",62.2,4,86,19,34.3,7.6,1,0.339,0.249,0.264
"Peralta, Luis",19,6,16,18,15.8,17.8,2,0.565,0.444,0.438
"Senzatela, Antonio",130,22,73,47,11.8,7.6,8,0.544,0.406,0.395
"Fedde, Erick",141,19,83,67,13.3,10.8,3,0.461,0.344,0.355
"Strider, Spencer",125.1,20,131,51,24.3,9.5,8,0.455,0.344,0.34
"Krook, Matt",3.1,0,3,1,20,6.7,0,0.451,0.417,0.324
"Junk, Janson",110,8,77,13,17.2,2.9,4,0.453,0.295,0.326
"Miller, Bobby",5,2,7,2,25,7.1,1,0.571,0.525,0.397
"Jarvis, Bryce",22,3,21,10,21.4,10.2,1,0.383,0.351,0.314
"Blewett, Scott",44.1,9,35,18,18,9.3,1,0.446,0.343,0.332
"Kranick, Max",37,5,25,7,16.7,4.7,0,0.453,0.283,0.329
"Booser, Cam",31,8,35,19,24.5,13.3,2,0.422,0.35,0.326
"Smith, Dylan",13,0,4,5,8.3,10.4,3,0.314,0.235,0.308
"Rogers, Tyler",77.1,4,48,7,16.1,2.3,1,0.311,0.241,0.256
"Latz, Jacob",85.2,7,76,37,21.8,10.6,0,0.395,0.29,0.315
"Allard, Kolby",65,5,42,14,15.8,5.3,1,0.39,0.293,0.286
"Lovelady, Richard",11.2,3,12,6,21.1,10.5,4,0.476,0.396,0.366
"Thompson, Ryan",41.1,4,36,13,20.6,7.4,2,0.381,0.308,0.295
"Berríos, José",166,26,138,56,19.8,8,7,0.454,0.325,0.337
"Gibson, Cade",54.2,3,43,21,18.7,9.1,6,0.347,0.279,0.304
"Englert, Mason",44.2,4,44,11,23.8,5.9,1,0.415,0.285,0.318
"Keller, Brad",69.2,4,75,22,27.2,8,6,0.296,0.238,0.262
"Pérez, Cionel",21.2,3,21,18,19.1,16.4,2,0.317,0.407,0.308
"Nance, Tommy",31.2,0,32,7,25.4,5.6,1,0.388,0.225,0.306
"Poteet, Cody",2.2,0,1,2,6.3,12.5,0,0.478,0.507,0.358
"Kittredge, Andrew",53,7,64,11,30.8,5.3,0,0.351,0.266,0.261
"Cox, Austin",21.1,9,22,7,21.6,6.9,0,0.561,0.434,0.37
"Gage, Matt",31,0,27,12,19.7,8.8,2,0.291,0.315,0.272
"Montas, Frankie",38.2,8,32,14,18,7.9,1,0.483,0.38,0.353
"Stratton, Chris",21,4,22,10,21.2,9.6,0,0.463,0.414,0.344
"Silseth, Chase",11,1,13,6,26.5,12.2,1,0.383,0.31,0.312
"Mize, Casey",149,21,139,36,22.2,5.7,3,0.412,0.319,0.298
"Ohl, Pierson",30,5,27,7,20.3,5.3,0,0.452,0.359,0.337
"Bernardino, Brennan",51.2,1,43,27,19.1,12,3,0.325,0.256,0.287
"Puk, A.J.",8,2,12,2,34.3,5.7,1,0.325,0.36,0.264
"Farris, Mitch",24.1,4,24,11,22.4,10.3,1,0.473,0.349,0.361
"Perkins, Jack",38.2,4,37,18,23,11.2,2,0.351,0.277,0.297
"Warren, Austin",9.1,1,9,4,26.5,11.8,0,0.425,0.245,0.323
"Garcia, Brandyn",14.1,0,14,8,21.2,12.1,1,0.338,0.352,0.317
"Bido, Osvaldo",79.2,19,68,35,18.7,9.6,6,0.487,0.384,0.354
"Cleavinger, Garrett",61.1,9,82,18,33.7,7.4,7,0.333,0.271,0.28
"Taylor, Troy",6.2,2,2,3,5.4,8.1,1,0.696,0.495,0.475
"Stephenson, Robert",10,1,10,3,23.8,7.1,1,0.378,0.273,0.285
"Petty, Chase",6,3,7,8,17.5,20,1,0.618,0.58,0.471
"Curtiss, John",36.2,5,24,5,17,3.5,0,0.462,0.27,0.32
"Iglesias, Raisel",67.1,8,73,17,27.3,6.4,2,0.376,0.266,0.277
"Kinley, Tyler",72.2,6,73,33,23.7,10.7,3,0.355,0.263,0.292
"Vargas, Carlos",77,10,54,23,16.3,6.9,7,0.371,0.327,0.298
"Priester, Quinn",157.1,18,132,50,20.2,7.7,6,0.37,0.31,0.298
"Banda, Anthony",65,8,61,35,22.7,13,2,0.355,0.285,0.296
"Doval, Camilo",65.1,4,72,35,25.9,12.6,3,0.33,0.285,0.297
"Rogers, Taylor",50.2,7,53,23,24,10.4,3,0.406,0.329,0.315
"Barnes, Jacob",8,1,5,3,13.9,8.3,0,0.515,0.345,0.377
"Winckowski, Josh",11.2,0,9,5,17.3,9.6,1,0.499,0.281,0.381
"Backhus, Kyle",25.1,3,22,8,19.1,7,3,0.408,0.35,0.327
"Waldrep, Hurston",56.1,3,55,22,24,9.6,3,0.359,0.276,0.31
"Gomber, Austin",57.2,16,34,17,12.5,6.3,1,0.553,0.411,0.372
"Holmes, Grant",115,16,123,54,25,11,7,0.414,0.316,0.329
"Henry, Tommy",6.2,3,8,1,30.8,3.8,1,0.634,0.407,0.419
"Sewald, Paul",19.2,4,20,6,24.7,7.4,0,0.445,0.318,0.301
"Herrin, Tim",42.2,5,45,30,23.2,15.5,6,0.35,0.339,0.324
"Murray, Jayden",11.2,0,8,3,17,6.4,0,0.386,0.232,0.302
"Mikolas, Miles",156.1,29,100,37,14.9,5.5,3,0.513,0.342,0.351
"Misiewicz, Anthony",4.2,2,5,4,21.7,17.4,0,0.668,0.413,0.462
"Oviedo, Johan",40.1,6,42,23,24.7,13.5,3,0.378,0.291,0.316
"Miller, Mason",61.2,5,104,28,44.4,12,1,0.279,0.225,0.249
"Wacha, Michael",172.2,15,126,45,17.6,6.3,4,0.42,0.299,0.316
"Houser, Adrian",125,10,92,38,17.8,7.3,8,0.387,0.312,0.312
"Ober, Bailey",146.1,30,120,31,19.2,5,5,0.462,0.344,0.323
"Swanson, Erik",5.1,2,3,5,10,16.7,1,0.47,0.489,0.382
"Greene, Hunter",107.2,15,132,26,31.4,6.2,2,0.372,0.267,0.273
"Seymour, Ian",57,5,64,19,26.4,7.9,3,0.383,0.274,0.308
"Hader, Josh",52.2,8,76,16,36.9,7.8,2,0.271,0.249,0.221
"Adams, Travis",33.2,6,31,17,19.6,10.8,3,0.505,0.378,0.393
"Scholtens, Jesse",8.1,1,12,3,31.6,7.9,0,0.346,0.294,0.279
"Speier, Gabe",62,5,82,11,33.7,4.5,5,0.31,0.247,0.247
"Petersen, Michael",18,3,17,7,21.5,8.9,0,0.554,0.315,0.377
"Clevinger, Mike",5.2,0,3,8,9.7,25.8,0,0.258,0.333,0.34
"Peterson, David",168.2,11,150,65,20.7,9,7,0.407,0.311,0.331
"Smith-Shawver, AJ",44.1,4,42,20,22,10.5,1,0.503,0.315,0.378
"Anderson, Ian",9.1,2,8,7,15.7,13.7,0,0.436,0.444,0.357
"Corniell, Jose",1.2,1,1,1,11.1,11.1,0,0.691,0.54,0.448
"Chavez, Jesse",8,4,8,5,18.6,11.6,0,0.555,0.51,0.383
"Wilson, Bryse",47.1,11,28,19,12.5,8.5,2,0.578,0.41,0.422
"Díaz, Jhonathan",1.1,0,1,0,20,0,0,0.318,0.176,0.263
"McDermott, Chayce",8.2,3,9,12,17.6,23.5,1,0.567,0.476,0.458
"Nola, Aaron",94.1,18,97,28,24,6.9,4,0.417,0.346,0.315
"Mey, Luis",21,3,21,17,21.9,17.7,1,0.364,0.33,0.349
"O'Brien, Riley",48,2,45,22,22.6,11.1,7,0.306,0.27,0.298
"Walker, Josh",5,0,8,2,32,8,1,0.39,0.411,0.312
"Stanek, Ryne",56,7,58,32,22.7,12.5,0,0.411,0.33,0.327
"Ureña, José",55,8,34,23,13.9,9.4,3,0.542,0.342,0.389
"Veneziano, Anthony",25,4,25,11,21.4,9.4,2,0.476,0.359,0.357
"Assad, Javier",37,3,23,12,15,7.8,4,0.412,0.31,0.339
"Molina, Anthony",34.2,12,24,6,15,3.8,2,0.606,0.435,0.405
"Festa, Matt",54.2,4,56,15,24.8,6.6,5,0.341,0.268,0.29
"Edwards Jr., Carl",6,1,6,3,25,12.5,0,0.368,0.282,0.283
"Castillo, Luis F.",7,0,5,7,12.2,17.1,0,0.472,0.413,0.391
"Acton, Garrett",1,0,0,2,0,40,0,0.019,0.277,0.285
"Criswell, Cooper",17.2,3,9,5,11.3,6.3,0,0.403,0.349,0.31
"Ray, Robbie",182.1,22,186,73,24.6,9.7,4,0.385,0.299,0.3
"Fluharty, Mason",52.2,6,56,24,26,11.2,2,0.35,0.271,0.284
"López, Reynaldo",5,1,1,2,4,8,0,0.614,0.434,0.465
"Sandlin, Nick",16.1,2,16,8,23.2,11.6,2,0.382,0.286,0.324
"Sasaki, Roki",36.1,6,28,22,17.4,13.7,3,0.472,0.331,0.362
"Rodón, Carlos",195.1,22,203,73,25.7,9.3,9,0.351,0.266,0.285
"Shugart, Chase",45,6,31,17,17.1,9.4,1,0.441,0.286,0.332
"Bazardo, Eduard",78.2,9,82,27,26.2,8.6,2,0.359,0.252,0.285
"Long, Sam",40.1,7,33,22,17.5,11.6,2,0.423,0.369,0.342
"Spiers, Carson",13.1,3,11,7,18.3,11.7,1,0.561,0.36,0.404
"Finnegan, Kyle",57,4,55,18,24,7.9,1,0.337,0.273,0.278
"Hoffman, Nolan",1,0,2,1,28.6,14.3,0,0.19,0.583,0.222
"Sears, JP",135.2,30,117,36,20.1,6.2,6,0.446,0.352,0.319
"Francis, Bowden",64,19,54,27,18.8,9.4,6,0.501,0.382,0.373
"Williams, Trevor",82.2,11,65,21,17.4,5.6,2,0.435,0.352,0.33
"Santillan, Tony",73.2,7,75,29,24.9,9.6,5,0.404,0.28,0.322
"Enns, Dietrich",46.1,6,49,15,24.5,7.5,0,0.365,0.318,0.288
"Estrada, Jeremiah",73,12,108,27,35.5,8.9,3,0.325,0.295,0.26
"Young, Brandon",57.2,12,47,22,18.4,8.6,0,0.439,0.372,0.32
"Gordon, Tanner",75.1,16,62,17,18.4,5,3,0.53,0.374,0.368
"Alcala, Jorge",55,13,61,30,23.7,11.7,1,0.428,0.393,0.327
"Arrighetti, Spencer",35.1,6,31,20,19.9,12.8,3,0.426,0.331,0.356
"Quantrill, Cal",117.2,22,85,35,16.6,6.8,5,0.517,0.367,0.366
"Sims, Lucas",12.1,2,13,14,18.1,19.4,7,0.439,0.433,0.408
"Lodolo, Nick",156.2,22,156,31,24.3,4.8,13,0.388,0.293,0.291
"Henderson, Logan",25.1,3,33,8,33.3,8.1,0,0.387,0.246,0.299
"Morales, Luis",48.2,8,43,18,21.6,9,1,0.442,0.297,0.325
"Rodriguez, Bradgley",7.2,0,9,3,29,9.7,3,0.182,0.248,0.237
"Raley, Brooks",25.2,0,25,6,25.3,6.1,2,0.289,0.2,0.241
"Stewart, Brock",37.2,3,44,13,27.7,8.2,4,0.303,0.284,0.259
"Estes, Joey",11,4,6,6,10.9,10.9,1,0.49,0.456,0.364
"Kirby, George",126,15,137,29,26.1,5.5,7,0.399,0.3,0.306
"Akin, Keegan",63.1,10,59,33,22,12.3,1,0.439,0.318,0.333
"Steele, Justin",22.2,5,21,5,22.8,5.4,1,0.484,0.326,0.343
"Dodd, Dylan",35,5,30,5,22.1,3.7,1,0.401,0.274,0.289
"Walker, Taijuan",123.2,21,86,42,16,7.8,4,0.439,0.337,0.33
"Brown, Ben",106.1,18,121,32,25.6,6.8,4,0.45,0.345,0.329
"Kerkering, Orion",60,6,65,27,24.4,10.2,4,0.353,0.3,0.298
"Quintana, Jose",131.2,18,89,50,16,9,5,0.463,0.308,0.349
"Knack, Landon",42.1,10,42,19,22.7,10.3,2,0.495,0.35,0.362
"Campbell, Isaiah",7.2,1,3,1,8.6,2.9,1,0.421,0.421,0.344
"Lawrence, Justin",17.2,0,23,8,33.3,11.6,2,0.312,0.224,0.265
"Hernández, Enrique",5.1,1,1,8,2.7,21.6,0,0.517,0.463,0.442
"Ferrer, José A.",76.1,5,71,16,21.9,4.9,7,0.353,0.31,0.294
"Lord, Brad",130.2,17,108,43,19.8,7.9,3,0.437,0.319,0.335
"Heaney, Andrew",122.1,25,86,40,16,7.5,9,0.492,0.357,0.362
"Vasil, Mike",101,8,82,52,19.4,12.3,8,0.368,0.284,0.312
"Boyd, Matthew",179.2,19,154,42,21.4,5.8,9,0.398,0.287,0.301
"Mejia, Juan",61.1,6,68,25,26.1,9.6,6,0.297,0.309,0.27
"Minter, A.J.",11,0,14,4,32.6,9.3,0,0.367,0.196,0.279
"Bachar, Lake",71,10,75,30,25.3,10.1,3,0.441,0.296,0.327
"Cruz, Fernando",48,5,72,24,36,12,3,0.332,0.281,0.288
"Wesneski, Hayden",32,7,29,6,22.1,4.6,1,0.457,0.322,0.321
"Zeferjahn, Ryan",57,12,73,34,28.5,13.3,4,0.403,0.335,0.321
"Pérez, Martín",56,6,44,22,19.3,9.6,2,0.492,0.278,0.354
"Snell, Blake",61.1,3,72,26,28.3,10.2,0,0.321,0.278,0.283
"Banks, Tanner",67.1,9,61,12,22.8,4.5,1,0.42,0.273,0.303
"Martinez, Justin",15.1,1,22,12,32.8,17.9,3,0.221,0.27,0.28
"Suter, Brent",67.2,11,53,18,18.2,6.2,2,0.425,0.316,0.314
"Mederos, Victor",17,4,14,12,17.3,14.8,3,0.429,0.417,0.351
"Helsley, Ryan",56,8,63,25,25,9.9,1,0.395,0.336,0.31
"Shuster, Jared",15.2,0,12,5,14.6,6.1,2,0.404,0.379,0.32
"Orze, Eric",41.2,4,40,19,22.5,10.7,3,0.356,0.317,0.297
"Chivilli, Angel",58.2,13,43,23,15.6,8.4,6,0.478,0.387,0.356
"Gausman, Kevin",193,21,189,50,24.4,6.5,3,0.407,0.273,0.301
"McGuire, Reese",1,1,0,1,0,16.7,0,0.802,0.602,0.529
"Ortiz, Luis",88.2,12,96,42,25.1,11,1,0.442,0.312,0.336
"White, Owen",7,1,6,3,17.1,8.6,0,0.479,0.466,0.386
"Weissert, Greg",67,6,57,21,20.5,7.6,3,0.371,0.284,0.289
"Gallen, Zac",192,31,175,66,21.5,8.1,4,0.434,0.315,0.32
"Murphy, Chris",34.2,4,30,20,20.3,13.5,5,0.341,0.276,0.31
"Johnson, Pierce",59,8,59,19,24.8,8,1,0.395,0.302,0.297
"Johnson, Seth",12.2,3,17,4,31.5,7.4,0,0.292,0.316,0.234
"Núñez, Dedniel",9.2,1,11,6,26.8,14.6,0,0.48,0.286,0.351
"Burke, Brock",61.2,8,52,18,20.2,7,3,0.393,0.308,0.303
"Sugano, Tomoyuki",157,33,106,36,15.7,5.3,8,0.524,0.342,0.366
"Henriquez, Edgardo",19,2,18,5,23.1,6.4,0,0.376,0.28,0.285
"Feltner, Ryan",30.1,4,25,12,18.5,8.9,0,0.349,0.336,0.284
"Scott, Tayler",27.1,6,24,18,17.9,13.4,1,0.498,0.415,0.382
"Verlander, Justin",152,16,137,52,20.7,7.9,6,0.419,0.32,0.319
"May, Dustin",132.1,21,123,56,21.1,9.6,12,0.451,0.342,0.349
"Harrington, Thomas",8.2,3,7,7,14,14,0,0.594,0.521,0.422
"Bautista, Félix",34.2,3,50,23,35.2,16.2,0,0.278,0.246,0.264
"Alvarez, Andrew",23.1,1,20,10,20.4,10.2,1,0.28,0.241,0.265
"Ferguson, Tyler",58,4,54,34,22,13.8,4,0.34,0.296,0.301
"Morton, Charlie",142,23,149,72,22.8,11,14,0.409,0.36,0.333
"Lauer, Eric",104.2,15,102,26,23.9,6.1,2,0.419,0.295,0.306
"Gil, Luis",57,5,41,33,16.8,13.5,1,0.42,0.311,0.342
"Muñoz, Andrés",62.1,2,83,28,32.7,11,4,0.293,0.228,0.263
"Palmquist, Carson",34.1,10,27,25,15.4,14.3,3,0.516,0.43,0.378
"McFarland, T.J.",15.2,2,7,3,9.5,4.1,1,0.501,0.427,0.358
"Woods Richardson, Simeon",111.1,17,107,46,22.7,9.8,3,0.402,0.308,0.304
"Zulueta, Yosver",7.1,1,5,4,15.6,12.5,0,0.507,0.269,0.358
"Meyer, Max",64.2,12,68,20,23.9,7,2,0.453,0.341,0.337
"Peralta, Freddy",176.2,21,204,66,28.2,9.1,9,0.361,0.27,0.289
"Valdez, Framber",192,15,187,68,23.3,8.5,7,0.37,0.295,0.303
"Jax, Griffin",66,7,99,21,35,7.4,1,0.359,0.299,0.282
"Ashby, Aaron",66.2,3,76,24,28.1,8.9,4,0.301,0.279,0.275
"Neris, Héctor",26.2,6,35,16,28.2,12.9,1,0.44,0.388,0.331
"Bergert, Ryan",76.1,8,73,35,22.6,10.8,1,0.41,0.29,0.322
"Senga, Kodai",113.1,12,109,55,22.6,11.4,3,0.373,0.313,0.309
"Cruz, Omar",3.2,0,5,3,27.8,16.7,0,0.308,0.332,0.298
"Miller, Bryce",90.1,17,74,34,18.9,8.7,3,0.463,0.349,0.351
"Fernández, Julian",5,2,5,2,25,10,0,0.622,0.317,0.424
"Darvish, Yu",72,14,68,19,23,6.4,6,0.395,0.334,0.297
"Phillips, Connor",25,3,32,12,32.7,12.2,2,0.381,0.245,0.308
"De León, José",6.2,1,8,3,28.6,10.7,0,0.308,0.367,0.282
"Tate, Dillon",6.1,1,8,6,23.5,17.6,1,0.458,0.396,0.385
"Brasier, Ryan",26,2,20,5,19,4.8,0,0.45,0.306,0.339
"Daniel, Davis",10,1,9,7,19.6,15.2,1,0.529,0.35,0.391
"García, Yimi",21,2,25,12,27.8,13.3,1,0.417,0.255,0.336
"Rolison, Ryan",42.1,11,25,20,13,10.4,0,0.491,0.406,0.364
"Severino, Luis",162.2,16,124,50,17.6,7.1,16,0.416,0.313,0.331
"Adcock, Ty",3,1,5,2,35.7,14.3,0,0.236,0.331,0.223
"Díaz, Yilber",3,0,1,3,6.7,20,0,0.686,0.423,0.499
"Nicolas, Kyle",38,3,34,18,20.4,10.8,2,0.381,0.303,0.316
"Kikuchi, Yusei",178.1,24,174,74,22.5,9.6,3,0.428,0.327,0.327
"Tinoco, Jesus",19.1,1,10,8,12.5,10,0,0.354,0.297,0.294
"Gilbert, Logan",131,20,173,31,32.3,5.8,7,0.367,0.28,0.275
"Woodford, Jake",36.1,3,23,13,13.5,7.6,3,0.428,0.343,0.344
"Cabrera, Génesis",42.2,12,35,18,18.7,9.6,2,0.451,0.38,0.333
"Warren, Will",162.1,22,171,65,24.1,9.1,4,0.426,0.321,0.33
"Luzardo, Jesús",183.2,16,216,57,28.5,7.5,3,0.355,0.29,0.285
"Ross, Joe",51,8,39,18,17.1,7.9,3,0.52,0.356,0.373
"Davis, Noah",11,7,15,6,23.1,9.2,7,0.709,0.57,0.492
"Sulser, Cole",22.2,1,22,7,24.4,7.8,0,0.312,0.266,0.262
"Kershaw, Clayton",112.2,8,84,35,18.1,7.6,2,0.377,0.292,0.303
"Wilson, Justin",48.1,3,57,20,27.5,9.7,2,0.363,0.309,0.296
"Hoeing, Bryan",8,0,5,3,13.9,8.3,0,0.278,0.318,0.245
"Murfee, Penn",12.2,3,13,5,20.6,7.9,1,0.544,0.411,0.38
"Smith, Shane",146.1,17,145,58,23.5,9.4,12,0.383,0.296,0.31
"Ginkel, Kevin",25.2,2,29,13,24,10.7,2,0.412,0.338,0.33
"Nelson, Ryne",154,17,132,41,21.3,6.6,4,0.411,0.284,0.308
"McGee, Easton",14.2,1,13,5,21,8.1,0,0.432,0.305,0.32
"Burr, Ryan",2,0,3,1,37.5,12.5,0,0.195,0.197,0.222
"Kopech, Michael",11,0,12,13,22.6,24.5,0,0.267,0.27,0.33
"Maldonado, Anthony",6,3,7,5,21.2,15.2,0,0.568,0.505,0.4
"Eflin, Zach",71.1,18,50,13,16.2,4.2,2,0.468,0.378,0.327
"Burns, Chase",43.1,5,67,16,35.6,8.5,0,0.377,0.311,0.291
"Hjelle, Sean",15,2,11,9,15.1,12.3,0,0.454,0.399,0.353
"Carrillo, Alex",4.2,4,4,2,18.2,9.1,1,0.878,0.563,0.526
"Glasnow, Tyler",90.1,10,106,43,29,11.7,3,0.324,0.266,0.285
"Sabrowski, Erik",29.1,2,42,21,34.7,17.4,3,0.279,0.271,0.286
"Brogdon, Connor",47,11,49,18,24.6,9,0,0.434,0.341,0.305
"De Los Santos, Enyel",66,7,62,24,22.1,8.6,2,0.413,0.308,0.316
"Romano, Jordan",42.2,10,47,17,25.1,9.1,3,0.417,0.365,0.313
"Eder, Jake",18.1,3,15,9,19.2,11.5,1,0.416,0.317,0.318
"Bigge, Hunter",15,4,12,5,20,8.3,1,0.526,0.315,0.371
"Pope, Austin",2,0,1,1,11.1,11.1,0,0.428,0.273,0.382
"Young, Danny",8.1,0,13,3,35.1,8.1,1,0.274,0.298,0.268
"Fitts, Richard",45,11,40,16,20.5,8.2,3,0.488,0.337,0.361
"Romero, JoJo",61,2,55,29,21.6,11.4,2,0.343,0.265,0.291
"Sánchez, Cristopher",202,12,212,44,26.3,5.5,6,0.345,0.264,0.272
"Brebbia, John",23.1,5,26,12,22.6,10.4,4,0.41,0.388,0.33
"Sánchez, Ali",1,0,1,0,16.7,0,0,0.734,0.564,0.369
"Hollowell, Gavin",9.1,1,10,7,23.3,16.3,0,0.407,0.333,0.347
"De los Santos, Yerry",35.2,1,28,17,17.5,10.6,1,0.38,0.307,0.325
"Suarez, Robert",69.2,6,75,16,27.9,5.9,2,0.402,0.235,0.298
"Myers, Tobias",50.2,5,38,15,17.3,6.8,2,0.43,0.315,0.324
"Espada, Jose",3,0,4,0,44.4,0,0,0.025,0.098,0.023
"Montero, Keider",90.2,16,72,31,18.5,8,2,0.446,0.337,0.333
"Otañez, Michel",5.1,2,6,5,21.4,17.9,1,0.528,0.491,0.409
"Okert, Steven",71.2,6,84,19,30.4,6.9,2,0.326,0.233,0.253
"Nelson, Kyle",2,1,2,4,18.2,36.4,0,0.44,0.437,0.394
"Winn, Cole",41.2,3,35,17,21.6,10.5,4,0.406,0.255,0.317
"Leclerc, José",9,3,8,5,17.4,10.9,0,0.545,0.431,0.39
"Brieske, Beau",22,5,16,12,15.5,11.7,0,0.383,0.357,0.312
"Payamps, Joel",26.1,4,24,9,20.5,7.7,2,0.556,0.389,0.391
"Rashi, Taylor",16.1,0,22,8,30.6,11.1,0,0.349,0.293,0.301
"Jameson, Drey",3,0,0,3,0,23.1,0,0.531,0.488,0.47
