player_name,IP,hr,k,bb,K%,BB%,hbp,xSLG,wOBA,xwOBA
"Soto, Gregory",60.1,4,70,24,25.1,8.6,11,0.343,0.312,0.305
"Hiraldo, Yaramil",19.2,4,21,9,25,10.7,0,0.3,0.325,0.253
"Wrobleski, Justin",66.2,6,76,17,27.1,6.1,3,0.359,0.299,0.289
"Pepiot, Ryan",167.2,26,167,61,24.6,9,6,0.401,0.306,0.31
"Mantiply, Joe",9.2,5,8,3,13.8,5.2,1,0.522,0.567,0.36
"Perdomo, Angel",3.1,0,2,3,12.5,18.8,1,0.459,0.285,0.416
"Lorenzen, Michael",141.2,25,127,39,21,6.4,6,0.451,0.339,0.331
"Horton, Cade",118,10,97,33,20.4,6.9,6,0.406,0.273,0.306
"Porter, Logan",1,1,0,0,0,0,0,0.824,0.584,0.548
"Peguero, Joel",22.1,2,17,8,19.8,9.3,0,0.37,0.256,0.289
"Baker, Bryan",68.2,13,83,17,30.3,6.2,0,0.447,0.306,0.311
"Bummer, Aaron",54.1,3,51,18,21.6,7.6,11,0.372,0.31,0.318
"Taylor, Grant",36.2,0,54,15,34.4,9.6,0,0.307,0.287,0.267
